0.0	-76.0	-54.0	-54.0	-54.0	-54.0
0.5	-76.0	-54.0	-54.0	-54.0	-54.0
1.0	-76.0	-54.0	-54.0	-54.0	-54.0
1.5	-76.0	-54.0	-54.0	-54.0	-54.0
2.0	-76.0	-54.0	-54.0	-54.0	-54.0
2.5	-76.0	-54.0	-54.0	-54.0	-54.0
3.0	-64.0	-54.0	-54.0	-54.0	-53.0
3.5	-75.0	-73.0	-54.0	-54.0	-54.0
4.0	-75.0	-73.0	-54.0	-54.0	-54.0
4.5	-60.0	-59.0	-54.0	-54.0	-54.0
5.0	-59.0	-55.0	-54.0	-54.0	-54.0
5.5	-60.0	-55.0	-54.0	-54.0	-54.0
6.0	-59.0	-56.0	-55.0	-55.0	-54.0
6.5	-60.0	-56.0	-56.0	-56.0	-54.0
7.0	-60.0	-55.0	-54.0	-54.0	-54.0
7.5	-75.0	-55.0	-55.0	-54.0	-54.0
8.0	-64.0	-55.0	-55.0	-54.0	-54.0
8.5	-63.0	-55.0	-54.0	-54.0	-53.0
9.0	-62.0	-55.0	-54.0	-54.0	-54.0
9.5	-59.0	-56.0	-55.0	-54.0	-54.0
10.0	-60.0	-55.0	-54.0	-54.0	-53.0
10.5	-59.0	-55.0	-54.0	-54.0	-53.0
11.0	-65.0	-55.0	-54.0	-54.0	-54.0
11.5	-62.0	-54.0	-54.0	-53.0	-53.0
12.0	-62.0	-54.0	-54.0	-54.0	-53.0
12.5	-65.0	-56.0	-54.0	-54.0	-54.0
13.0	-69.0	-55.0	-54.0	-54.0	-54.0
13.5	-61.0	-55.0	-54.0	-54.0	-53.0
14.0	-65.0	-55.0	-54.0	-54.0	-52.0
14.5	-68.0	-60.0	-55.0	-55.0	-54.0
15.0	-65.0	-55.0	-54.0	-54.0	-54.0
