Timestamp	T2P_EC	T2P_ED
1359938103.754000	138.038426	162.181010
1359938104.721000	25.118864	25.118864
1359938290.459000	22.387211	67.608298
1359938290.459000	22.387211	67.608298
1359938290.748000	22.387211	67.608298
1359938290.750000	22.387211	67.608298
1359938290.750000	22.387211	67.608298
1359939600.123000	44.668359	70.794578
1359939600.123000	44.668359	70.794578
1359939600.225000	50.118723	75.857758
1359939600.229000	50.118723	75.857758
1359939600.229000	50.118723	75.857758
1359939600.229000	50.118723	75.857758
1359939600.229000	50.118723	75.857758
1359939600.295000	50.118723	75.857758
1359939600.465000	251.188643	380.189396
1359939605.308000	50.118723	63.095734
1359939970.615000	50.118723	63.095734
1359939970.615000	50.118723	63.095734
1359939971.408000	50.118723	63.095734
1359939971.410000	50.118723	63.095734
1359939971.410000	50.118723	63.095734
1359941399.443000	44.668359	70.794578
1359941399.443000	44.668359	70.794578
1359941399.484000	44.668359	70.794578
1359941399.490000	44.668359	70.794578
1359941399.490000	44.668359	70.794578
1359941399.491000	44.668359	70.794578
1359941399.491000	44.668359	70.794578
1359941399.534000	44.668359	70.794578
1359941399.684000	112.201845	446.683592
1359941404.388000	67.608298	114.815362
1359941651.485000	25.118864	25.118864
1359941651.485000	25.118864	25.118864
1359941652.189000	25.118864	25.118864
1359941652.190000	25.118864	25.118864
1359941652.191000	25.118864	25.118864
1359941968.255000	33.884416	52.480746
1359941968.255000	33.884416	52.480746
1359941969.070000	501.187234	3162.277660
1359941969.073000	501.187234	3162.277660
1359941969.073000	501.187234	3162.277660
1359941969.120000	501.187234	3162.277660
1359941969.140000	501.187234	3162.277660
1359941969.140000	501.187234	3162.277660
1359941969.330000	223.872114	1479.108388
1359941970.680000	22.387211	85.113804
1359941970.685000	22.387211	85.113804
1359941970.685000	22.387211	85.113804
1359941971.068000	43.651583	165.958691
1359941971.068000	43.651583	165.958691
1359941971.130000	43.651583	165.958691
1359941971.130000	43.651583	165.958691
1359941971.131000	43.651583	165.958691
1359941971.131000	43.651583	165.958691
1359943200.589000	478.630092	97.723722
1359943200.589000	478.630092	97.723722
1359943200.631000	316.227766	1202.264435
1359943200.634000	316.227766	1202.264435
1359943200.634000	316.227766	1202.264435
1359943200.640000	316.227766	1202.264435
1359943200.640000	316.227766	1202.264435
1359943200.671000	316.227766	1202.264435
1359943200.821000	316.227766	501.187234
1359943205.548000	67.608298	104.712855
1359943332.350000	25.118864	25.118864
1359943332.350000	25.118864	25.118864
1359943333.169000	25.118864	25.118864
1359943333.171000	25.118864	25.118864
1359943333.171000	25.118864	25.118864
1359944099.943000	25.118864	25.118864
1359944099.943000	25.118864	25.118864
1359944100.555000	223.872114	3890.451450
1359944100.556000	223.872114	3890.451450
1359944100.556000	223.872114	3890.451450
1359944100.558000	223.872114	3890.451450
1359944100.558000	223.872114	3890.451450
1359944100.614000	223.872114	3890.451450
1359944100.705000	223.872114	3890.451450
1359944100.708000	223.872114	3890.451450
1359944100.708000	223.872114	3890.451450
1359944100.715000	223.872114	3890.451450
